ASSERTION	AAEDAAEBAQAAAAAAAHCnQA==
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.payment.Payment	payment	1760300941581	 	3.3.1
REQUEST	187		payment	1760300942650	1760300946658	OK	 
REQUEST	142		payment	1760300942648	1760300946658	OK	 
REQUEST	173		payment	1760300942649	1760300946658	OK	 
REQUEST	53		payment	1760300942645	1760300946659	OK	 
USER	make payments simultaneously	176	END	1760300942649	1760300946658
USER	make payments simultaneously	127	END	1760300942647	1760300946659
USER	make payments simultaneously	114	END	1760300942647	1760300946659
USER	make payments simultaneously	142	END	1760300942648	1760300946659
USER	make payments simultaneously	93	END	1760300942646	1760300946659
USER	make payments simultaneously	173	END	1760300942649	1760300946659
USER	make payments simultaneously	53	END	1760300942644	1760300946659
USER	make payments simultaneously	187	END	1760300942650	1760300946660
REQUEST	46		payment	1760300942644	1760300946660	OK	 
USER	make payments simultaneously	46	END	1760300942616	1760300946661
REQUEST	9		payment	1760300942643	1760300946661	OK	 
USER	make payments simultaneously	9	END	1760300942607	1760300946662
REQUEST	125		payment	1760300942647	1760300946663	OK	 
USER	make payments simultaneously	125	END	1760300942647	1760300946664
REQUEST	157		payment	1760300942649	1760300946667	OK	 
USER	make payments simultaneously	157	END	1760300942648	1760300946667
REQUEST	62		payment	1760300942645	1760300946668	OK	 
USER	make payments simultaneously	62	END	1760300942645	1760300946669
REQUEST	30		payment	1760300942643	1760300946675	OK	 
USER	make payments simultaneously	30	END	1760300942613	1760300946675
REQUEST	21		payment	1760300942643	1760300946679	OK	 
USER	make payments simultaneously	21	END	1760300942612	1760300946680
REQUEST	68		payment	1760300942645	1760300946726	OK	 
REQUEST	184		payment	1760300942650	1760300946727	OK	 
REQUEST	155		payment	1760300942650	1760300946727	OK	 
REQUEST	94		payment	1760300942646	1760300946727	OK	 
REQUEST	85		payment	1760300942646	1760300946727	OK	 
REQUEST	168		payment	1760300942649	1760300946727	OK	 
REQUEST	159		payment	1760300942649	1760300946728	OK	 
REQUEST	31		payment	1760300942644	1760300946729	OK	 
REQUEST	100		payment	1760300942651	1760300946730	OK	 
REQUEST	71		payment	1760300942645	1760300946727	OK	 
REQUEST	156		payment	1760300942649	1760300946750	OK	 
REQUEST	105		payment	1760300942647	1760300946750	OK	 
REQUEST	190		payment	1760300942650	1760300946751	OK	 
REQUEST	45		payment	1760300942642	1760300946727	OK	 
REQUEST	185		payment	1760300942650	1760300946751	OK	 
REQUEST	52		payment	1760300942645	1760300946751	OK	 
REQUEST	22		payment	1760300942644	1760300946751	OK	 
REQUEST	7		payment	1760300942642	1760300946751	OK	 
REQUEST	158		payment	1760300942649	1760300946751	OK	 
REQUEST	148		payment	1760300942648	1760300946751	OK	 
REQUEST	169		payment	1760300942649	1760300946751	OK	 
REQUEST	123		payment	1760300942647	1760300946752	OK	 
USER	make payments simultaneously	68	END	1760300942645	1760300946728
